Name,Type,Tags,Event,Date,Place,"lat,long",Description,Source,Image,Role,Contacted,Column
Shed 10,Building,,sheds controversy,2009,Queens Wharf,"-36.841818, 174.768033",exporting shed,"Wharf designs misses the boat, NZ Herald ","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxISEBUQEhIVFRUXFxUVGBcYFhcVFxYWFRYYFhcVFRYYHyggGB4lGxYWITEiJiorLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGy0lHx0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0rLS0tLS0tLS0tLf/AABEIALcBEwMBIgACEQEDEQH/xAAcAAAABwEBAAAAAAAAAAAAAAAAAQIDBAUGBwj/xABHEAACAQIEAwUFBQYEAwcFAAABAhEAAwQSITEFIkEGE1FhcTKBkaGxBxRCwfAzUmJy0eEjQ4KyFVPxJIOSosLS4hZEY3Oz/8QAGQEBAQEBAQEAAAAAAAAAAAAAAAECAwQF/8QAJREBAQACAgMAAgEFAQAAAAAAAAECERIhAzFBE1EiMmFxocEE/9oADAMBAAIRAxEAPwDjzGkmjNFXoCTQo6BFAU0KOKEVAmhSooRQJijpUUIqhNClEUkioCoUcUKoFCKOhQJiiIpRoqBEUIpUUIoERQilRRgVAmKMCjijigKKEUqKFAkCjilAUcVQmKOKVFCKBMUcUcUcUCYo6OKEUBRQpUUKBM0U0VCaBVFFAUdAVChQoDihQowKAUIpUUKoSRRRTlERTQboqWRRRUUVFFHQiiCoRRxQigTFCKVFCKBMUIpUUcUCYoRSoo4oExQilRQigICjijijigTFHFHFCKoKKOKMChFAUUIpUUIqgooUqKFBGNAUdHFYBCjo4owKoSBRxSwKOKaCQtKApQo6ugUU5btTqZjrG8dY91IFaDsklv7zbz5vaEjKGBE6hgSNPHWqlVGNsBSIDDTXNvPWPKojLXaO3nZTDdyt7DXFJKgSzFoGrCI6kNuTsBXI8VhCpg0x7mzfaAaKKeZKQRUsUiKEUqKKoCihFHQoCihSqEVQUUIo4o4oCihFO4bDvccW7as7nZVBZj6AV0Hs59mLtFzGNkG/dIQWPk77L6LJ8xUtkHOPKjivQ/8A9M4PuRh/u1o2xqFyjQ/vZt838UzWP419ldtpbC3TbP7lznT0D+0vvzVJlBymKEVc8a7MYvCSb1lgo/zF57frmHs/6oqoFbgKKEUdHTQIChFHRxVBRQijijigTFClxQoI+Wjy07koBazoNhaUFpxRVonZ7EGQLZLhguQczag80rKwMpB1pdT2KiKKpfEMBdstlvW3tmY5lIk76E6HQjbxqIav+AJo6TQFBIw8TUy1jTaM2zDajNAJEiDE7etVmahnomu2kHaG4GILEqQEjpCaL8BULFXQ2tVdxuY+p+tOI9axvRZ2O4KZYU+aaalUyRRUs0bJoDrrPTTTwPWsBuhR0KAUIozWr7Odg8Viodx3FrfO45mH8FvQn1MDwmnoZULJAGpJgAakk7ADqa2/Zz7N8Rfh8QTYt75Ym6w/lOie/Xyrf8A7P4HAiUy95sbrspc+MHZR5KBT2L47Fwqly3Gkaqeg8/GsXP8AQl8E7PYfCJksWws+027t/M51PpsOlWYWs+vGWZgq3ELGIAKyTEkD4Gpl23fIWJmNeYDXMfPwiuYuAtDJVSMJfIE76/iHlH50scPuFCDEyDM9IM9PSgsTA6iszxrsNgMTJyC1cP47RCEk9SnssfUTVpb4Vc1lhqI3PiD4eVLwvDXDK5bYzGtXehyzjf2Y4u1LWCuITwHJc96MYPuPurGYjDvbc27isjjdWUqw9VOtemoqHxPhdnEJkv2kuL0DAGPNTuvurc8n7Hm6KEV1bjP2V22lsLdNs/uXOdPQOOZffmrBca7MYvCSb1lgo/zF57frmX2f9UGukylFPFCKUBQit6BRQpUUKBsGjqZw/Ai4jsSwygnQCNutQm0rEym9GgroHY7E3PuqvkW6tvvgBoDbICn2To8rcOoBIzEbTWF4dhTevJaBjMwEmIUbsxkjZQTE9K3nAOF4ezmXv85DI7FlAX/DExlzxBOcEHWVXSK4f+izjpmnbnFEu4j7uFuXLTuVYMRcbWJS1mBIU5TtGk+ANQ+PcLt4m0Dh/u+GVWPI1tbRLKMrEuizO+hEafw6Di3Gbl5u9FwxEq5lSYO65TJJBmCeugXpUjBE4a45ZwrExJD5ioaF7sc4lhAJ8NjXlx/jZrpGYvWyrFW3BIMEESNNCND6ikU7isM9pslxSjQDB3hhIPvBpmK+g2KgaOiNAu4eY+p+tKtmg1olmyqTEkwCYE7mNh50gGkW+0q2Jory03buxSi81rbF2ZNJJp1hTbCo1BVo+znYzF4yGRO7tf8ANuAqv+gbv7tPMVmn2Poa9QWjKgnWQD8qxlloZjs32FwmEh8vfXR/mXAND/8AjTZPXU+dWvaGwXw9xFEs4yAeJYwB8TVmYPuP9qhcYYi0SN5SOmuYRXG3YsMBhbiW8ww6DVRCkSIAksTsZzTE9N4qJj7jWg+e8Q8yEQhV/ZqC7E6sogy0R5TUzCtfBIhSFJJUhlA1P4i8LMz+I71lu0uEIQu5twSSAqr/AA6SQ0xpAJ+E15snbH2g4/iy3XsoGzHvATMZswzyxjRRpogmBqdYjXYMcvxrneBtqLlnLMi4c2ixqrEahQd53JmBtoK6FgLY2zat0Ou2mnh0rp47rFnye0xaXRtZiibQExXXbkFDLRqZEijoGyKKKdiiigQFpD+hp8CifagxPazsvw8o158OUIgk2CLZJZo1X2D5kida4yNdf713/tWjGxd05O6LFpG6naPnNeeTdMV28WV7218SIoVF76irtyiaXPCf2GIEkcpOhjYaz4/3qquLrvO30rRYMThnP8Fz8x4kdBVLibeteX1nWvhrC4V7ji3bQux2VRJMa6Aek1t+GcOu2sMEugKhLkoGNxrrssLonKsSDEtMeZFUHZXDucSHQqO7BdsxiUMW2C6iWi5pqNpnStnxXEAYY2ghLE92zFVWXXTlUDaM0RvlHgTXHzZ3fFzyZ/8A4gt1UR7SkLyoqg5PYzKwABABidpOvhFRHt5G5W1U5dADHQsGkZSYXU1Hu3rnOt3TWdYzAkBRC9BsJ31PgauODsXLWi+QAezuxYcuhIg6RsTsKzrd0i4s42y1pRetgvGsgNtoJJiZEHYeHnUe/hsA5/Z2x/3YT5oJoJwnNmd5gGAPH1quxSMGyopnwUSfgK7THUb3UbF8AsE8gI/kef8AytmP0qCvZV2nJcXKIzFwUygmJMZh120J6VMexielq6f9DeflVlwh8YM1vurkNBk50ylTI1JiDtGkz8WWWWM3EuSyscNGDwrONWL5mHOVc9M0rCjmXxB2O1c54mJcvy8xmFUKBoJhQABv0rX4xytx+8ZrhPtKJK29dCW9nXQ6eMRqap8fg+9UP7I2VtSpJCk5vAxG3w6Dl4d8u/qTus7RBqn/AHIjfTzHh4+BHmKe/wCF6ZjqviOnqDXs00rQ9BjVuOC/i3XxHT+YdPWrPhfAA7EZFaBMnKFiAdcx038etUZG4dD6Gu4dqO3K4Nrdm1bS++Sbg7zL3ei5QYU6nUx0EeNReB9nOF3VtriMMhztlm2blpkJ0GYowDSfLSsj2s7KXMCQWa3FxrmQJmMZSDzSo/fG3nWLZbqpXUeyHHfveFGIZFtku65Q2YDKd5IFZbj/ANoFl71vDWYa33tsPfLcqjOAzIoBzgCTPWNAZmk8EuFOz14qYMuJ2gM6KYPoTVH2A4NaxOLK3RmW2ufLJALZgBJGsanSsandHS73abAk3FucURTmKlAWWMrRBU9Y3FQcVYsXbDDv7/MQ4y4fFOpOXliUgrWU+1HhFqzcTEWwVa8XziTBYQc4nYnNr0+dab7Mb5fAAMZy3HRfJdGA9JY1i4TW2plVHwvg4W6hFu8W70GTZuooTI4JJZABrlroeFUgRt9d/GjxmIS0j3W9lFZzA1hQSY9wqmsdrMO+qq599kfW5WJNFu2iQep95NGy6RWdftfh0Jm3eEKGJyKRlJiQwaDsdvCk4Dtvhb1wW0F3M0xKATAJOpbwFa2jShaEUFajqgD0oooyYqLbuOzEcoiOpJ11AI6aR40ElqbubCnCKJgfpQZT7ROM28PhClxWPfBraZQNH0IzSdBp8q4CqzpXfvtB4MuJsIWIGRiVJLCGIgHl3A3g159U6CunivtTncGhSJoV23B0vjXDTZs3udnzITrYawBykEBTv01FVmB7LnEWBeW6AdeXub7bGBzW7ZHTxrQdtOG2QlxhbKmLjEnOJg6ZQTEb7AUOynEGXAooS4ECXFEEwTnJzTOgln8tNuteC45+pe2uU/Su4b2XezdRvvVtVOlzkxCHuyRmXmtddql8S4QHVRauhFtsFVQGVCraMELDM4g9dzMxUHH8XIyJbwt0sohmz3TnzDaJIXeNOvhUXC8fV1Zbl6/ZyqAq27plm1DQQISIB6bx6Yy8fkvdq3hTTcKLrdUXEIBzrzjPykIwyDWIEx4KKdsdmLvdJetNbDQS8YiwpWeZPxgiQW5dwUOlNnjgsXc6vikZSxHMuUnMSCQTt0I8jrV4e0tov3Xe4n/GCNaLMrIpfUBjnnR+QnpDb70k8nwxxxDDYDGraOisykMZu2mzW2ETyvoVKjzOfypxOAYm8/NhoyiCMytObYrEzH51EwPa2WW3b+8MwBBt5QSf3gFD6cs+kU2e1DWbkqzMBBzC1Ie2QGBnPoCpOvnWscvL9/6uWODS4fsYu9yxfJiAEXKNCSZJU6mhj+EnB3wLVm46OquQEduZSQLbOoAWQA224jXq5he0KRZvG4zLcYQcgAIe26oOXSc3ToQZqFaw2Iv4xbwg2WRXD5bfstPLkKzqNPEa+VdPJM7NRymGKjbDXrzNbQFAVGbOuiEhmAzZQV8dj5HWai8N4Hd7tz3bnmEwACynlDZGyz8fDTcjacFwLXLyMtzKbypcYlVYEFZK6iVEaiCIzD0qbxjj2Jw4EECcukcpzKSNiANE2/iGorlMs56jX45+3OkwJs3lsXlylhIBIJUsCVGk6NER6e+0ThwtuAFMETrEDUiB5f1q9xPae+939jbe3KwzW2JJy5pVWJ8ttqbucazOQ2GsjKASSgUb66gdSQK3z8kuuP8Atqa17ViYdbV3TKqAA/EDx8/rSMoZ7xZixa4ObrsNzuf7U/xnHYVrAZ7CtdYwLcuisFMSCrEsOgMDUbVa4LiWCGFeLC96YTKO9MxbWAG8zInyq/kz+xLr4rrF8W9hqBmHqATJ9Y+U1J+2VuXDH+K99LdMXnsBS33Vx6Ney7cxkA+fyrZdssbYt4YreeypbNkF0EkmIPdlSCCNPiKY5Xe6zYxfChPZ28OuY/8A9bdRfsktFcXdB/5Q/wBy1sMfcGL4PcFo23gNAtAgHu2tuRuZJyn31iezfF8NgsaGIK27lvLIJaGzyCQTtpGnjXTluVNfV59ra8uH/mufRKsvsuUfcT/+1/olZb7SePWsRdWykxZZ1ZjpLyFYATsMu/X66z7NLDJw8E/jd3XfVTAB18cppf6Re8aScPiFYhVNm4M2pgFGkkeVci4zw02L5uYZ7bICqhlnIdANnJ1J+vurrHaa2VwWIbMSDYveH/LauUrjXSxdtokKwzEZZ0TmGp2CxM/lpWZLVbzssox2GfvltiFUMCwgkFuZdZG+/wA6rcJ2aFnHWXtkZVLyrHmE23Gh2b9b1k+FPifu7OLNxhMSiO2i82Q5RABJNWnB+LXL/E7HekyCdMuWJsXOgO49KnEdcTenIptD5fWlhvWrtAuDQ+hqh4Nx8375s91lgE5s0zlIG0Dxq+uHlPofpQ03irsKiiYflSC/X+tNvfjx+FAeIGnub/bXlO2RA9BXqm8O8Q6lYPQwdQaosD2awiWyq2U0MyFXT2Rpp4VrC6HnUMPEUK9HXOG4UsZtJMnca7+S0Vb5DGdp+BPhbFwMtxc9u4f8S4LhOUdCGMb0XZXsauJwNq7ceA2fQ38iwLjD2IgbVg8T2pxDIyd2hDqQSGZtDIO5jrTWGv4ooO7tFgOq2rjdddVMVw4tbbLtBwG3gLtvuGVi6vOW4LpGQrAMARudPLyrPkqSSbVsySTyAGTqdViq27jryOFuoynKZVka2dT0Da9KlYbEW2/FB8wfrBqVqI+O4g5utopH8SKx1kkEkSd41p/hji5espda3btl1VmFuQqkyTlXfc7eNVOaXuH+I/Cnrdk3GW2pKlmHMA7EQCdFtgsdugrfph0uzwnhiNnXiJDa8yYS6G135vfTeI4fwthlOPxeWIypZZFjwyzFYh+zt8uqzeuIfabu3tld9lukE9PDepN7sUWtzaS5mzQe97lRETpkZmqb/urZHC8DTCC0xvHUnvMtgXvbB1zNIG4EjYmoGHxwGZMC15rAIVe8ZWfRQSvJIABbQA1U3+wwdctu0LZ0h2vtdPnyC0B86dXshfQsLTBFmQAmaNANGNyek61LlFmznHOO4qz3WRrlk6xBI0CxA00G1bnsb2hz4EZsGcQ4dgWIkHQaywgbxFc44l2dxV0KO8VivUhuukbkdPlW37CcKxOGw7Wryq0uWU9+9sBWABGXKR0J1FZtxNVrmbF3UAw+Aw1omdbmQwNNgN9z06VCudnuMHa7g001IspvJ1EW/CN+s1nO0XZqwWtNYtZeZjeyXxmIO2Qm3A5tdvHxrNcd4Fct2/8AsxxYbNPPiLQAHUBlKk9OlOU/Zqum2uz/ABC4oniPcfhIFpSxKEqWmQIYiRAGhFM8A4Ni7r3rVziOJi2wEh1BYZnAIGXl0QHr7XrVP2AxOItYQJeN3PmJLs6OYOwB7xmIETJA32rQ3OKif2t1vGM3wiR9KXy9rxV+PzYe7eQtiL+W2xQtjPaeLZUNbUKVkuRILeyxish2yxF7H2rTYm0cGqvcCkxeZiVQnRSIHnPjpWyu8WdmhFPTV1U69dro+lZTtXwTE373eNdVAQFAFgkadYNzfXp5Vn8m7ulxPdleOWsHgWwtoXcRcm40pbygZxoWGYmAfrVNxzhYx10YgIcISyg97yK5JJLBGAIO066ztM05h+xDxNzErl3PJkMagaZjGpHwrQHgnfEWxzqMssr9zEfyyW2q8++k4s3h+B4Z8W+Ivs9wPde4LKm0om45YI57wlt4yiD4+FdFt8VdVAGEuwBAAFsAAdBzVTt2LRGD52hWBguQARtvMn1ir3DICvK0wSPaDQfCZqXOmlfxTjj3LL2nwd6GRlOtvUMIIHN69KzWKXC52/7HjknOsBrAChgVgAEdD4mtpiRMLMaidaqOKplduUt74OvjAifPSs3OrxiFwq6i4K5hxYxhUsGLAWkg5cpH7WPA9az/AA61h7OMt3xbxeZJgN3WXVGTodfaneuhYHD5eHk3MgJYtmYDlAGwHkOulZsZvvKI1sgNmgztCkxljf12mryyNRobfau3Jm3eA0g5AR6aMT8qNe19kzC3oG/+C5+MbUlcNlnQNrvoPkKQWWedQB8j7xpWuScT47X4c6Zb59LLn6imX7U25JC4jpy9yZ31PNRvZsqubuyR1Ek++CYNM4dLGc5cq+AP/WryTRvG9q0AjLiOn+Uo99Vt7tbbAmMQTBMd2omPwidKubuAESAPc2nw2qNcwqgawP15VeVTSTwLjq37DkLcGW4gMrl3Dx8hrFWOGuDunIIGunWJ0H0qrt423h7ZlLlwMyk92FYrCncFhPtdPA1OGOsvbbnVS+VgGOUnc7H1qfkx+1fx34sAlo6lJMnXNHX1oVTvdSTDIR4hxHyNCt7Y0z1/7MbLt3lzFXC0zyW7VsdPFWkadaftdgsPlC95fZB1a5A84W2q1uruBky2w/CDAP8AMetBrXhp76jbGDsHgIgYYP0lnu3P9z6e6oOI+zPBH2bb2/5bj/8AqY1uLoAGrfT8zVXiuJW00zOxH7qFvmNKmzTD3/sos/gvXl9XWP8AbUJfs2xFh8+GxZVoIkggwdxmWtVje0kHkRz5lcv9TVYvaK6z6AAnSQSWrPNeKA3C+LWv/uDcjoBZbT/vEpTcexiKbbYeTIYsyRsCP8sheu/lVx391iJzDTrp/Sl3Xy+1E/zSa53yxuYKdOPYuJ7hTH8La/AmqrHdsL9tst+yq7EjO+kgESMu+s1tLOKZjE6eZ/LWn3tOd3IHhAX5nWkz3fRcdOf3u1tvdrWXWdZAPoSBNdH7EYq1ewv3g2s3MRozdP4QCF9c1UvFLODj/FWW8TzE+cNlJ90+lN4HhqNbK2tUmYCAAHqSDEf+GseXKYzcXCcuqtO0na7Ci5bTI1koWMkjUREQCZHr5VRY7tFhn178g9NCfkDpUbG8PZmMFcvTlBOnnVY/CEB8epEDfzUVMMuU3Wspr0u8PxhCOV2YTuAVJPkGE/KpI40sQVuD+bMJ95j5VT2cFywPgP1ApxcIQPbjyBJJ+BgVf4p2ucBjVZ1zOwUnWBJjyLU7xrEZRC6zMSJB9TJJqjRSDJCnyI19eWKTeIAnVfTm9yjT6mtTTNW5xA7sA9d+s9fHQVa8LxTbAjw9B6QPr8az9pFKyrDN4NI+O31q84Pg8kPdkzspJlvMAaKvmN/nV0lT+JvcNvLaZNTBuMcxEwDkQA52jppFMcOsCxb7q3mKyTLnmJO+nQeVPY82yVAMEDplgD9yGEAb/o1FaVELp6MIn3VdoTeuNLFmMQYG+v0086gX+IEPO2uwX9foUnF4ljoQPfr86gTPT4E/nIrNsrWmkvYwfd7fd3QGUiVJMmd9PdVScUGvi4ggjlMyNcuUnXXqdqhtd0bQjw2b6RQwXDlNxboYkmZiADoR4efjWozZpb3eKOOgOuhmY9dDSV46yyGSR5MGG+8MJ+dVmIwbKxXQn1B+VRj3gEGQPORV2ul9a46pk5PqG+DaH/xUuxxW2xk2Wj+VT9azLnqAJ8wD84qMzncaeQJ+lNnFuTxWxHsMPMKPnTi8UstGzeRUA/OsIjs2gY+mbQ/E1NAYLBt3ANNRJH6/U1qVmxsjxTDLbynkJP4lgRB/FtvHWkjF4e5auE219oRsYGsaz6VSferq2cgRrqR+9lI/0ka+oMVXYbEAWXWSjEjQiCYnZtqvSdr1rGFnRTHra/rQqiGF694moB1Dzrr00oVU06JjuMBRz3FT0ZJ90k/SqDE9oZMgsQOuZwPflyilX+CohP3jHW0/hsqiEHwk5mquvYnhtnUJcxDfvXCzA+cuY+ArNtdJDeI4zmOl1JOmUZp92USaYuYXEXQWBYDXU8nwLn506e1N0jLhsKir4op098AVX8Q4lfuL/itAPQt+SiKzsIv8GuqFuXG5WEqZa5IHhECojY6yhg52j+VBPu1+JqfwG4l0Nw+65CuS1o7ZLvh5Btf0aoTwbEZzbWywKkqZB3B11NQWlzjIOyT5kgjX13py3xP+G2fKB+QmmbfZu6BNzQDqTpUzC8IQbnN6DT4xXOtwdjiNxtFQ+4ZfnE1aYHCu55rTQeq3Ib3mRTmFtKmwAFWq42IA1MeyNyPL+tWRm0a8OsIoHdj/AFcx9+utNX71pD0B8lE/nUfGi+4JZxaWD15/loPjWQxuNKGLYL7w5zNJ8p0PuFMpv0mK+4riDcMlmjxIERtvAJ+NQrC4UnK9wq3UZSE9x5j8QB51TJhcRcbOZB+EePpUqzwpgdZP018ACKzJr3W103D7AALOwU7NlDI2nRrZK/Om3w+GK8jsD4NlH+01Gw4ayZByE6GGIzDwZeo9aTcxymcyKs/iU5T6keyfQBfWiEXMNDQGWB4EnbpqIpVjCvdaEBYkxpqST0A60VjD3L5jDgXIiZC2so8XzGB6AnapeGu3LSslsEEmGuQQ7DqqTqq+ehPyrUlS1IGGSxozBrs+qIfPo7fIefR6zcOYtmljuZkk+cVCS2SYBzR+7qBHi23wNWnDUIP99fE6+NUP4e8YJdFcTswkjzkyRtTV8oT+zj+Vj18JmrmxgGdYzQOp/tUXG2OcqokDfTw0A/XgalhKpL2F6gOJ2lDHxEz8KZtcNM9N9v8A4nX5Vdi2pGeA3Qj19PSpDYWILLlG5OY+Oxnaakhaz2NwGTcEaTB5aTwtYkaxMj31f96IgXGHlmldfGaRbvsP3I26fQHf3VuTSWq7H4Jbi5hMjXr8KrntMRpIPXca/wB9/fWs7uQeZZ6AKpn3wIqI2EAGioT05RHvOxq0jPHAXBzAgz0PN8jt61Gawv4raz5FgfmSPlWpzLH7IGPBTA8i1vY9d+tQu+t5tbOfX8LPt6NNYsWM5dw9voHXz5X/APbRrjbts8twkekfEa1qfutliZsuqkAgkNPyBH0qr4hYw6nQOBtqBHruKvcFbieJvcUZidPDTXyj0FV+IfOOYdfa66+Y394qdew9uTkb4iJ+BNRjgkj2lB/lP5D61qZfs0hhGGgdo/mNCn3wVwGAAR0MMJHpRVUdCudmLKA97cL+OULaHvO9VeIv4GwOSxbc6+yO+bw9o6D41b3uDLBfG4hTvKoS22pjNJ/8opzA4bCwTh8MX/iuaL06tsRV0m2PvX7+IMJbYJtvoP4YHKD5TNKbs22910T1Mn0yiPLxrZ41iVh3VPJOXTwzH8qqmazb128yDJIPid/zqcTbO3eEouqB3I1n2FB6EGPyrQHG/eMP3gIW5bgXFVSZHR83x2/KoWM4zIKqsjYnp7tahcP4ibFwXAGAOjjQgqTqIOs1nqKK9xBF1Jk+pJ/XrTS8XuMYQfKpnaHh9mxluW5dLnMhiR4wB7/LrVRaN24YylRO2XX4AgDpvUqxNOLX/NuGfASPnufdVlw/Hg8lhcsmJKnf94wJPyqJheGS3MCCOpElttm9ld/Xzq7w2HVFAUAEiT1J+NEpF7hwbW7cLneD7PUaLsPnTHc202XXaeunQ+FP4i6BqW923uHU1BxF4Dl/G2ygGTPr7PzOvSlWE372kwPHUDX0qvx3FCiwsTOre7YH8hFQeK270wQo6xmmPXU67nWq+7dyjmIOwG58gPA+grKrbA8P762118TbUiTlZgCY160nB4lxaZ7eU2tEZstuRm1IR2BJaJ/UU7Z4SttO9xkidUsCMz9ZcAgoBpoaiYi614gEsFEwonKvko/URV0iVhle8MoBSwG9gCST1ZyAC590dKv7nGgg7oW+8UaRckqvXlnmX3HSszad1hVMD3R6md6m2OJ3J1Mr1gkbbAawPh+VNmlul+3d15rZ8OZ7QPlAzD4Gpgw123DABl/fTmX3kez749KhJxvY5Y0G2xj11qZgOItIbPDaTyx/XSkou/8Ai3d4fUHMdQfAf38PSqZ8VKz1YyZ02kD3b/Gp+OxFq7yuFLbZl5GB2G+h08RS8Nw1J/w7uaJ5TlU7abyD7jVvaTpXWsWFOUR4H2gff7wKXcxLsGTLM7c0ETpJpGIwRss1zIxbUwQFGoOpnpv51BTF3XVuSW3mIJBMEDxH9KkCmtOv4W+Bphkbop+cx+ppwX39kk+S9PrT9tsiF2Jkc0eHgYrWwwiXVBMEeMfH+lBMadszT60m3xwk6DQgHadtNPCmW4qC0mG9Rv8Ar0ps0kXMcRpm38ekeH660m1jzMsA0dSocDp1pjFuu8Ag9QPgaFuwrrIbKwgEdCaUWNjiKzBW4s68mqeoDfoRUrDmydN1O4I5fHaSJ91VGGt5BBNw7hTEmQOgKkdNvM+VOBblsC4GMGAQUg+e/Sps0fxnZzrbUMNdBGb0jr8BWYxuGKsQVII6MCD+vWtSVS4utwoASZDQB4EmRGkVEuXLhlA+g/AZceROaRr6daxbN6JWayRpmHxj5UKtmumf2CH3MvyUgD3ChVadNa1ZVoW0pbToPOCSfyqm4zizORrmUkaKg+WY/wBBQoV6cnKKYWHYjIBbzicx57jdQc3Sq7FrZUZnZrhhjJnoYOnTmG1ChXOtKtuJZuSzbHszJ6dZ1/pUO9g3Ms7zG8aAevU0dCsq2nY+2Cj4O8ohpZCNx5SNekj31LfALZJWdV000kEfLQ9KFCr8T6ZvX0kDxiKis3X1+X6/60dCoqtxV49ABm9mBqSAT9KrWw7EmQd/EHMR1J670KFSrDLqWIUbk5ddp0Gn9/7Ve4bDW8FrcRbt8xkBANu3ImdRqdJ91ChWfQqMZiHvMWdiSZJbqZ0geA0pi6ICqDrBO3Qb7n0oUKikEywtr5kny3PrTw10XYHYadJ69f60dCpQ9MGegANScNfkFtZ/W3woUKvwFZvwSfLp5yPyIpNzExAJiTA67dJ941o6FBoeE8Qud2FznKNcp1ECZ8dPTWk4vF2XbIysknQ+0s7TEyNvP0oUK1KzVu9p0tq4ClCIkkmdSNzB+I60xltusG3M6zPQ+eh6DTzoUK1Uil4jbsMCqKy5QDMzqTEQddfEGs9iLioxEtmykbDrI3nbT50KFRolFdhHmdM2yzqSY1IPSKv8Hww93y3B3gXMQUGUjXcjWhQpUTcPgjfUFsobrGbwHSfh+VEOB3lnLcgDaCTr4GdCKFCppNouLwmIRDyqQdCZB0nZpInU+dQbF0s2Q5QVSZIOwGgBGsRrRUKmlLa4QTDEDymPdJH0oUKFFf/Z",tear it down,,
Former Chief Post Office (CPO) building,Building,,redevelopment project,2009,Britomart precinct,,most important of the heritage buildings,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/P2aFDW,winning design proposed for CPO ground floor to be a giant public vestibule to the interchange,,
Former Chief Post Office (CPO) building,Building,,redevelopment project,2009,Britomart precinct,,most important of the heritage buildings,"Urban designs as practice-led research, John Hunt",https://goo.gl/images/P2aFDW,"instead of serving as ground floor for vestibule, concentrate bus stops around the former CPO building; thereby, keeping the former CPO building preserved as much as possible.",,
Shed 11,Building,,Design Competition,2009,Queens Wharf,"-36.841692, 174.767614",Existing structure on the wharf,Queens Wharf Supplementary Design Brief Information,find image of shed,"May or may not be retained, but could be used as a sheltered area for events",,
Terminal,Building,,Design Competition,2009,Queens Wharf,"-36.842826, 174.767345",Planned building built for cruise ship departures and events,Queens Wharf Supplementary Design Brief Information,find image of plans,Important part of the design competition,,
Ferry Terminal,Building,,Design Competition,2009,Queens Wharf,"-36.842826, 174.767345",Existing ferry terminal on the wharf,Queens Wharf Supplementary Design Brief Information,find image of terminal,Need to keep open space on the wharf in order for the terminal to function,,
Cruise Ship Facility,Building,,Design Competition,2009,Queens Wharf,,"A terminal building, a customs area, other infrastructure for it and vehicles",QW Design Brief Stage 2,find image of facility,It was part of the guidelines for the design competition for these to be included in the plans,,
Regional Ferry Terminal,Building,,Design Competition,2009,Auckland,"-36.842826, 174.767345",Existing structure,QW Design Brief Stage 2,find image of terminal,Must be expanded and must consider adding another cruise ship berth on Queens Wharf,,
Wharf sheds,Building,,Design Plans,2009,Queens Wharf,"-36.841322, 174.768408",Existing structures of the wharf,Tony Watkins on Queens Wharf,use image on article,Objects of controversy in the design competition as to whether to keep them or not,,
Contemporary Maori & Pacific Cultural Centre (KIWA),Building,,Design Plans,2011,Wynyard Wharf/waterfront,,A proposed building,http://www.spasifikmag.com/Kiwa/,find image of plans,Aim to create a venue to celebrate Maori & Pacific culture,,
Tuppawaka,Building,,Design Compeition,2011,Queens Wharf,"-36.841600, 174.761027",Giant plastic Waka (Maori canoe),Mark Graham: Give Auckland some South Pacific culture,https://www.radionz.co.nz/assets/news_crops/6302/eight_col_wakamaori.jpg?1447267114 (best public image I could find),Used to try and demonstrate Maori culture for 2011 Rugby World Cup,,
The Cloud,Building,,Queen's Wharf development,2011,Auckland Waterfront,"-36.841452, 174.768042",structure built for the world cup,Waterfront Feb. Report,find image of The Cloud,structure built on queens wharf,,
Wynyard Quarter,Building,,Waterfront Revitalisation,September 2009,Queens Wharf,"-36.839037, 174.756679",Marine Events Centre,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,https://www.heartofthecity.co.nz/sites/default/files/styles/listing_regular_image/public/listing_images/Wynyard%20birthday%20resized.jpg?itok=bd_63bPi,To be developed as part of the total revitalisation of the city's waterfront,,
Te Wero Bridge,Building,,Waterfront Revitalisation,September 2009,Queens Wharf,"-36.842124, 174.763314",Bridge,Auckland City Council Waterfront Update - Queens Wharf and Marine Events Centre,http://auckland-west.co.nz/wordpress/wp-content/uploads/2011/08/P1470948aw.jpg,To be developed as part of the total revitalisation of the city's waterfront,,
The sheds,Building,,Design Cometition,November 2009,Queens Wharf,"-36.841692, 174.767614",Buildings on Queens Wharf,https://www.radionz.co.nz/national/programmes/ninetonoon/20091105,http://1.bp.blogspot.com/_XObY6bo2hFI/TFcpXemK6dI/AAAAAAAACiE/ExY5P14mHr8/s1600/P1080023.JPG,Something that was strongly suggested be kept for cost saving and history,,
Tijbaou Center in Noumea New Caledonia,Building,,Maori and South Pacific heritage,March 2011,Auckland’s waterfront,,built by Renzo Piano,"KIWA, Tamaki Herenga Waka",https://goo.gl/images/9r2aEs,center was named after the kanaky reistance leader Jean Marie Tijbaou,,
KIWA,Building,,Maori and South Pacific heritage,March 2011,Auckland’s waterfront,,"center for contemporary Maori nd South Pacific arts, culture and climate change research","KIWA, Tamaki Herenga Waka",find image of KIWA,iconic businesses and institutions for location on the watefront,,
